Title,Authors,Journal,Year,PMID
"The Polygenic Nature of Multiple Sclerosis: Genetic Variants, Immunological Modulation, and Environmental Connections","Khan, Z; Mehan, S; Maurya, PK; Kumar, A; Gupta, GD; Narula, AS; Kalfin, R","Endocrine, Metabolic & Immune Disorders - Drug Targets",2025,39810445
Synthesis and Antiviral Evaluation of Unexplored Dioxolane-Derived 7-Deazapurine Nucleoside Analogues against Epstein-Barr Virus (EBV),"Singh, US; Jones, RA; Kothapalli, Y; Lan, S; Zhang, X; Slack, RL; Thoomu, HP; Schooley, RT; Sarafianos, SG; Chu, CK",ACS Medicinal Chemistry Letters,2025,40959246
"Subpial cortical demyelination in multiple sclerosis: A systematic review of frequency, pathology, and clinical diversity","Etemadifar, M; Rezaei, K; Hojjati Pour, F; Salari, M",Multiple Sclerosis and Related Disorders,2025,40505539
"Study protocol for a multicentre, randomised, double-blinded, placebo-controlled, multi-arm, multi-stage, trial of SpironolacTone and famciclOovir in the treatment of Progressive Multiple Sclerosis to prevent disability progression: the STOP-MS trial","Ward, K; Li, V … Taylor, BV; Broadley, SA",BMJ Neurology Open,2025,41450528
Strong association with remote EBV infection in children with MS as opposed to other acquired demyelinating disorders,"Molenaar, S; Scherbeijn, S; Bruijstens, A; Buijze, MSJ; Smolders, J; Geurts van Kessel, C; Neuteboom, RF","Journal of Neurology, Neurosurgery & Psychiatry",2025,40102037
Stratifying Multiple Sclerosis Susceptibility Risk: The Role of HLA‐E*01 and Infectious Mononucleosis in a Population Cohort,"Nova, A; Gentilini, D; Di Caprio, G; Bourguiba‐Hachemi, S; Vince, N; Gourraud, P; Bernardinelli, L; Fazia, T",European Journal of Neurology,2025,
Sp140L functions as a herpesvirus restriction factor suppressing viral transcription and activating interferon-stimulated genes,"Cable, JM; Wongwiwat, W; Grabowski, JC; White, RE; Luftig, MA",Proceedings of the National Academy of Sciences,2025,40526717
Sleep and Risk of Multiple Sclerosis: Bridging the Gap Between Inflammation and Neurodegeneration via Glymphatic Failure,"Buongiorno, M; Tur, C; Giraldo, DM; Cullell, N; Krupinski, J; Lanzillo, R; Sánchez-Benavides, G",Brain Sciences,2025,40722356
Sex-Related Differences in Lifestyle Factors Affecting Multiple Sclerosis Susceptibility and Disease Progression,"Barbuti, E; Piervincenzi, C; Ruggieri, S; Petracca, M",Brain Sciences,2025,41154192
Retrospective In Silico Analysis of Routine Laboratory Data Supports a Specific Association of Epstein-Barr Virus and Multiple Sclerosis,"Rodomonti, M; Pache, F; Otto, C; Schindler, P; Eberspächer, B; Geran, R; Puthenparampil, M; Gallo, P; Wildemann, B; Jarius, S; Erdur, H; Ruprecht, K",European Journal of Neurology,2025,
Repurposing Licensed Drugs with Activity Against Epstein-Barr Virus for Treatment of Multiple Sclerosis: A Systematic Approach,"Li, V; McKay, FC … Broadley, SA; -",CNS Drugs,2025,39792343
Reduced CD40 expression in B cell subsets of individuals with radiologically isolated syndrome.,"Keller, CW; Stein, K … Lünemann, JD; Comabella, M",Frontiers in immunology,2025,41403945
Recent Progress in the Vaccine Development Against Epstein-Barr Virus,"Dai, Y; Zhang, B; Yang, L; Tao, S; Yu, Y; Li, C",Viruses,2025,
Prophylactic and Therapeutic EBV Vaccination,"Khanna, R; Cohen, JI",Current Topics in Microbiology and Immunology,2025,
Profiling of Epstein-Barr Virus microRNAs in Whole Blood and Exosomes in Multiple Sclerosis,"Hvalkof, VH; Olsson, AGS; Gustavsen, S; Langkilde, AR; Hansen, MB; Sellebjerg, F; Søndergaard, HB",Immunological Investigations,2025,
PBMC-Humanized Mouse Model for Multiple Sclerosis: Studying Immune Changes and CNS Involvement,"Dagkonaki, A; Papazian, I; Gouzouasis, V; Karles, A; Kourouvani, M; Tselios, T; Fragkiadaki, E; Probert, L",BIO-PROTOCOL,2025,
Outcomes for Primary Central Nervous System Lymphoma from a Single Institution,"Dontu, S; Boccucci, J; Chahin, M; Keruakous, A; Jillella, A; Cortes, J; Kota, V; Bryan, L; Chauhan, A",Hematology Reports,2025,
Multiple sclerosis: 2024 update.,"Klotz, L; Saraste, M; Airas, L; Kuhlmann, T",Free neuropathology,2025,40636815
"Multiple sclerosis pathophysiology: a comprehensive review of genetic, environmental, and immunological drivers","Ghafoor, DD; Ahmad, DO; Najmuldeen, HH; Mohammed, SJ; Jalal, PJ; Mustafa, FS; Alghofaili, F; Zangana, BA; Al-Bajalan, SJ",Inflammopharmacology,2025,41205133
"Multiple sclerosis and infection: history, EBV, and the search for mechanism","SoRelle, ED; Luftig, MA",Microbiology and Molecular Biology Reviews,2025,39817754
Microbiota-Derived SCFAs in Multiple Sclerosis: From Immune Priming to Neurodegeneration,"Sharma, VK",Molecular Neurobiology,2025,
Latent microbial infections leading to myelin and axonal damage in multiple sclerosis: A narrative review,"Zadeh, FN; Esmaeilkhani, A; Sedighi, M; Amirmozafari, N; Rahbar, M; Soleiman-Meigooni, S; Bialvaei, AZ",Current Journal of Neurology,2025,
