Title,Authors,Journal,Year,PMID
Anti-EBV antibody reduction during ocrelizumab treatment is not associated with multiple sclerosis outcomes,"Esposito, A; Corsaro, L … Brescia Morra, V; Moccia, M",Multiple Sclerosis and Related Disorders,2025,
Altered immune landscape of cervical lymph nodes reveals Epstein-Barr virus signature in multiple sclerosis,"Sarkkinen, J; Yohannes, DA … Perdomo, M; Laakso, SM",Science Immunology,2025,39982975
Advancements in multiple sclerosis,"Montague, T; Drummond, J; Ng, K; Parratt, J",Internal Medicine Journal,2025,40171883
"Acute infectious mononucleosis generates persistent, functional EBNA-1 antibodies with high cross-reactivity to alpha-crystalline beta","Ganta, KK; McManus, M; Blanc, R; Wang, Q; Jung, W; Brody, R; Carrington, M; Paris, R; Chandramouli, S; McNamara, RP; Luzuriaga, K",Cell Reports,2025,40372913
A survey of pathogenic involvement in non-communicable human diseases,"Lape, M; Schnell, D; Parameswaran, S; Ernst, K; O’Connor, S; Salomonis, N; Martin, LJ; Harnett, BM; Kottyan, LC; Weirauch, MT",Communications Medicine,2025,40542146
A narrative review of genetic and environmental factors and risk for multiple sclerosis. The design of the Italian multicentric PEDIGREE study,"Ghezzi, A; D’Alfonso, S … Laudisi, M; Baldi, E",Neurological Sciences,2025,40815455
A disease-specific convergence of host and Epstein-Barr virus genetics in multiple sclerosis,"Mechelli, R; Umeton, R … Perez, ML; McVean, G",Proceedings of the National Academy of Sciences,2025,40184175
Zeb2 drives the formation of CD11c + atypical B cells to sustain germinal centers that control persistent infection,"Gao, X; Shen, Q … Zaunders, JJ; Cockburn, IA",Science Immunology,2024,
"Vitamin D and viral infections: Infectious diseases, autoimmune diseases, and cancers",-,Advances in Food and Nutrition Research,2024,
Virus-specific T-cells from third party or transplant donors for treatment of EBV lymphoproliferative diseases arising post hematopoietic cell or solid organ transplantation,"O’Reilly, RJ; Prockop, S; Oved, JH",Frontiers in Immunology,2024,38274824
Viewpoints Sigma-1 receptor agonist fluvoxamine for multiple sclerosis,"Hashimoto, K","Brain, Behavior, & Immunity - Health",2024,
Vaccination with nanoparticles displaying gH/gL from Epstein-Barr virus elicits limited cross-protection against rhesus lymphocryptovirus,"Edwards, KR; Schmidt, K … Pancera, M; McGuire, AT",Cell Reports Medicine,2024,38781964
"Understanding the link between neurotropic viruses, BBB permeability, and MS pathogenesis","Rani, A; Ergün, S; Karnati, S; Jha, HC",Journal of NeuroVirology,2024,38189894
Twin study dissects CXCR3+ memory B cells as non-heritable feature in multiple sclerosis,"Ingelfinger, F; Kuiper, KL; Ulutekin, C; Rindlisbacher, L; Mundt, S; Gerdes, LA; Smolders, J; van Luijn, MM; Becher, B",Med,2024,38531361
The role of Epstein-Barr virus in autoimmune and autoinflammatory diseases,"Borghol, AH; Bitar, ER; Hanna, A; Naim, G; Rahal, EA",Critical Reviews in Microbiology,2024,38634723
The hidden link: How oral and respiratory microbiomes affect multiple sclerosis,"Jameie, M; Ahli, B; Ghadir, S; Azami, M; Amanollahi, M; Ebadi, R; Rafati, A; Naser Moghadasi, A",Multiple Sclerosis and Related Disorders,2024,
The effects of urolithin A on poly I:C-induced microglial activation,"Mingo, YB; Gabele, L; Lonnemann, N; Brône, B; Korte, M; Hosseini, S",Frontiers in Cellular Neuroscience,2024,38577490
The Level of Anti-Viral Antigen-Specific Antibodies to EBNA-1 in the Serum of MS Patients Does not Depend on the Severity of the Disease,"Ovchinnikova, LA; Dzhelad, SS; Simaniv, TO; Zakharova, MN; Gabibov, AG; Lomakin, YA",Doklady Biochemistry and Biophysics,2024,
The Impact of Infectious Mononucleosis History on the Risk of Developing Lymphoma and Nasopharyngeal Carcinoma: A Retrospective Large-Scale Cohort Study Using National Health Insurance Data in South Korea,"Kang, SH; Lee, Y; Myong, J; Kwon, M",Cancer Research and Treatment,2024,38665055
The EMBL-EBI Job Dispatcher sequence analysis tools framework in 2024,"Madeira, F; Madhusoodanan, N; Lee, J; Eusebi, A; Niewielska, A; Tivey, ARN; Lopez, R; Butcher, S",Nucleic Acids Research,2024,38597606
The EBV-MS connection: the enigma remains,"van de Waterweg Berends, A; Broux, B; Machiels, B; Gillet, L; Hellings, N",Frontiers in Immunology,2024,39267757
The DNA loop release factor WAPL suppresses Epstein-Barr virus latent membrane protein expression to maintain the highly restricted latency I program,"Murray-Nerger, LA; Maestri, D; Liu, X; Li, Z; Tempera, I; Teng, M; Gewurz, BE",bioRxiv : the preprint server for biology,2024,38766209
Targeting Epstein-Barr virus in multiple sclerosis: when and how?,"Giovannoni, G",Current Opinion in Neurology,2024,38511407
T cells implicate Epstein-Barr virus in multiple sclerosis pathogenesis,"Fyfe, I",Nature Reviews Neurology,2024,
Successful Treatment of Epstein-Barr Virus Reactivation-associated Transverse Myelitis Following Herpes Zoster with Intravenous Rituximab in a Cord Blood Transplant Recipient,"Sato, K; Watanabe, R; Ito, I; Imadome, K; Sumi, M; Kobayashi, H",Internal Medicine,2024,38296479
Spontaneous human CD8 T cell and autoimmune encephalomyelitis-induced CD4/CD8 T cell lesions in the brain and spinal cord of HLA-DRB1*15-positive multiple sclerosis humanized immune system mice,"Papazian, I; Kourouvani, M; Dagkonaki, A; Gouzouasis, V; Dimitrakopoulou, L; Markoglou, N; Badounas, F; Tselios, T; Anagnostouli, M; Probert, L",eLife,2024,38900149
"Similar geographic distribution of mortality from multiple sclerosis, Hodgkin lymphoma, and inflammatory bowel disease in the United States","Sonnenberg, A",Multiple Sclerosis and Related Disorders,2024,38354444
Shared and distinct interactions of type 1 and type 2 Epstein-Barr Nuclear Antigen 2 with the human genome,"Viel, KCMF; Parameswaran, S … Kottyan, LC; Weirauch, MT",BMC Genomics,2024,38475709
"Serum Concentrations of Chemokines CCL20, CXCL8 and CXCL10 in Relapsing-Remitting Multiple Sclerosis and Their Association with Presence of Antibodies against Epstein-Barr Virus","Košćak Lukač, J; Baronica, KB; Šućur, A; Sremec, J; Tomasović, S; Baronica, R; Kelava, T; Grčević, D; Kovačić, N",International Journal of Molecular Sciences,2024,39125633
Serologic Response to the Epstein-Barr Virus Peptidome and the Risk for Multiple Sclerosis,"Cortese, M; Leng, Y; Bjornevik, K; Mitchell, M; Healy, BC; Mina, MJ; Mancuso, JD; Niebuhr, DW; Munger, KL; Elledge, SJ; Ascherio, A",JAMA Neurology,2024,38497939
Rubella virus seropositivity after infection or vaccination as a risk factor for multiple sclerosis,"Ingvarsson, J; Grut, V … Nilsson, S; Sundström, P",European Journal of Neurology,2024,
"Risk of multiple sclerosis in individuals with infectious mononucleosis: a national population-based cohort study using hospital records in England, 2003-2023","Goldacre, R",Multiple Sclerosis Journal,2024,38511730
Racial and Ethnic Disease Phenotype Differences Are Driven by Genetics: No,"Langer-Gould, A",Multiple Sclerosis Journal,2024,
Propionic Acid Impact on Multiple Sclerosis: Evidence and Challenges,"Lorefice, L; Zoledziewska, M",Nutrients,2024,39599673
Potential clinical implications of molecular mimicry‐induced autoimmunity,"Suliman, BA","Immunity, Inflammation and Disease",2024,38415936
Ocrelizumab B cell depletion has no effect on HERV RNA expression in PBMC in MS patients,"Tarlinton, R; Tanasescu, R; Shannon-Lowe, C; Gran, B",Multiple Sclerosis and Related Disorders,2024,38598954
Ocrelizumab Alters Cytotoxic Lymphocyte Function While Reducing EBV-Specific CD8 + T-Cell Proliferation in Patients With Multiple Sclerosis,"Abbadessa, G; Lepore, MT; Bruzzaniti, S; Piemonte, E; Miele, G; Signoriello, E; Perna, F; De Falco, C; Lus, G; Matarese, G; Bonavita, S; Galgani, M",Neurology Neuroimmunology & Neuroinflammation,2024,
Novel model of multiple sclerosis induced by EBV-like virus generates a unique B cell population,"Deffenbaugh, JL; Jung, K; Murphy, SP; Liu, Y; Rau, CN; Petersen-Cherubini, CL; Collins, PL; Chung, D; Lovett-Racke, AE",Journal of Neuroimmunology,2024,
New views on the complex interplay between degeneration and autoimmunity in multiple sclerosis,"Stys, PK; Tsutsui, S; Gafson, AR; ‘t Hart, BA; Belachew, S; Geurts, JJG",Frontiers in Cellular Neuroscience,2024,
New insights on the link between Epstein‑Barr virus infection and cognitive decline in neurodegenerative diseases (Review),"Schreiner, T; Romanescu, C; Schreiner, O; Nhambasora, F",Experimental and Therapeutic Medicine,2024,39268367
New insights in the pathogenic mechanism of multiple sclerosis: Is Epstein-Barr virus associated with optic nerve involvement?,"Remolí-Sargues, L; Monferrer-Adsuara, C; López-Salvador, B; García-Villanueva, C; Gracia-García, A; Castro-Navarro, V; Cervera-Taulet, E",European Journal of Ophthalmology,2024,38311887
Neurotropic murine coronavirus mediated demyelination: Factors dampening pathogenesis,"Hwang, M; Bergmann, CC",Journal of Neuroimmunology,2024,38850674
Navigating Epstein-Barr virus autoimmunity: role of NK cells and T cells in multiple sclerosis,"Xie, C; Sun, C; Zeng, M",Signal Transduction and Targeted Therapy,2024,38424043
Natural language processing analysis of the theories of people with multiple sclerosis about causes of their disease,"Haag, C; Steinemann, N … Puhan, MA; von Wyl, V",Communications Medicine,2024,38914643
Myelin Oligodendrocyte Glycoprotein Antibody Disease (MOGAD)-Monophasic Optic Neuritis and Epstein-Barr Virus (EBV): A Case Report of Rare Comorbid Diagnoses in an Adolescent From a Remote Greek Island,"Georgopoulou, E; Palkopoulou, M; Liakopoulos, D; Kerazi, E; Kalaentzis, A; Barmparoussi, V; Kokkinos, M; Kaliontzoglou, A; Anagnostouli, M",Cureus,2024,
Multivalent MVA-vectored vaccine elicits EBV neutralizing antibodies in rhesus macaques that reduce EBV infection in humanized mice,"Escalante, GM; Reidel, IG … Wong, SW; Ogembo, JG",Frontiers in Immunology,2024,39346922
Multiple sclerosis patient-derived spontaneous B cells have distinct EBV and host gene expression profiles in active disease,"Soldan, SS; Su, C … Jacobson, S; Lieberman, PM",Nature Microbiology,2024,38806670
Molecular mimicry as a mechanism of viral immune evasion and autoimmunity,"Maguire, C; Wang, C; Ramasamy, A; Fonken, C; Morse, B; Lopez, N; Wylie, D; Melamed, E",Nature Communications,2024,
Milk and multiple sclerosis: A possible link?,"Morin, CR; Baeva, M; Hollenberg, MD; Brain, MC",Multiple Sclerosis and Related Disorders,2024,
Interactions between High Seroreactivity to Human Herpes Virus 6A and Epstein-Barr Virus in MS Development: A Presymptomatic Case-Control Study,"Grut, V; Biström, M; Salzer, J; Stridh, P; Jons, D; Gustafsson, R; Huang, J; Bergström, T; Kockum, I; Waterboer, T; Olsson, T; Sundström, P",Annals of Neurology,2024,
Integrating genetic and proteomic data to elucidate the association between immune system and blood-brain barrier dysfunction with multiple sclerosis risk and severity,"Sun, D; Wang, R; Du, Q; Chen, H; Shi, Z; Zhang, Y; Zhang, N; Wang, X; Zhou, H",Journal of Affective Disorders,2024,39029667
Insights into the interplay between Epstein‐Barr virus (EBV) and multiple sclerosis (MS): A state‐of‐the‐art review and implications for vaccine development,"Mohammadzamani, M; Kazemzadeh, K; Chand, S; Thapa, S; Ebrahimi, N; Yazdan Panah, M; Shaygannejad, V; Mirmosayyeb, O",Health Science Reports,2024,38361801
Increased EBNA1-specific antibody response in primary-progressive multiple sclerosis,"Comabella, M; Hegen, H … Montalban, X; Lünemann, JD",Journal of Neurology,2024,39666032
"In-depth analysis of serum antibodies against Epstein-Barr virus lifecycle proteins, and EBNA1, ANO2, GlialCAM and CRYAB peptides in patients with multiple sclerosis","Vasilenko, N; Tieck, MP … Dulovic, A; Kowarik, MC",Frontiers in Immunology,2024,39742283
"In the era of antiviral trials for MS, the answer lies in the details","Drosu, N; Bjornevik, K; Bilodeau, PA; Yeh, A; Lechner-Scott, J; Hawkes, CH; Giovannoni, G; Levy, M",Multiple Sclerosis and Related Disorders,2024,38241758
Impact of coding risk variant IFNGR2 on the B cell-intrinsic IFN-γ signaling pathway in multiple sclerosis,"Bogers, L; Rip, J; Rijvers, L; van Langelaar, J; Koetzier, SC; Kuiper, KL; Meerdink, V; Wierenga-Wolf, AF; Melief, M; Marques, AM; Smolders, J; van Luijn, MM",Journal of Autoimmunity,2024,
Immune control of human γ-herpes infections,"Münz, C",Seminars in Arthritis and Rheumatism,2024,38007361
Immune Modulation by Epstein-Barr Virus Lytic Cycle: Relevance and Implication in Oncogenesis,"Todorović, N; Ambrosio, MR; Amedei, A",Pathogens,2024,39452747
How to and should we target EBV in MS?,"Eckert, S; Jakimovski, D; Zivadinov, R; Hicar, M; Weinstock-Guttman, B",Expert Review of Clinical Immunology,2024,38477887
Hitting Epstein Barr virus where it hurts: computational methods exploration for siRNA therapy in alleviating Epstein Barr virus-induced multiple sclerosis,"Ojo, TO; Elegbeleye, OE; Bolaji, OQ; Adelusi, TI; Oladipo, EK; Olawuyi, MO; Afolayan, BO; Oyaronbi, AO; Ogunjobi, TT; Oyewole, MP; Folorunso, KP; Ogunlana, AT",Neurogenetics,2024,38809364
High heterogeneity of cross-reactive immunoglobulins in multiple sclerosis presumes combining of B-cell epitopes for diagnostics: a case-control study,"Ovchinnikova, LA; Eliseev, IE; Dzhelad, SS; Simaniv, TO; Klimina, KM; Ivanova, M; Ilina, EN; Zakharova, MN; Illarioshkin, SN; Rubtsov, YP; Gabibov, AG; Lomakin, YA",Frontiers in Immunology,2024,39669579
Heightened Epstein-Barr virus immunity and potential cross-reactivities in multiple sclerosis,"Thomas, OG; Haigh, TA; Croom-Carter, D; Leese, A; Van Wijck, Y; Douglas, MR; Rickinson, A; Brooks, JM; Taylor, GS",PLOS Pathogens,2024,38843296
Greater humoral EBV response may be associated with choroid plexus inflammation in progressive MS,"Jakimovski, D; Zivadinov, R; Ramanathan, M; Weinstock-Guttman, B; Tavazzi, E; Dwyer, MG; Bergsland, N",Journal of NeuroVirology,2024,
Global perspectives on the contribution of B cells to multiple sclerosis: an in-depth examination and evaluation,"Jiang, X; Zhang, H; Liu, Y; Sun, B; Mu, G",Frontiers in Immunology,2024,39611149
Germinal center cytokine driven epigenetic control of Epstein-Barr virus latency gene expression,"Liao, Y; Yan, J; Beri, NR; Giulino-Roth, L; Cesarman, E; Gewurz, BE",PLOS Pathogens,2024,
Genetics of immune response to Epstein-Barr virus: prospects for multiple sclerosis pathogenesis,"Huang, J; Tengvall, K … Olsson, T; Kockum, I",Brain,2024,
Gene-environment interactions: Epstein-Barr virus infection and risk of pediatric-onset multiple sclerosis,"Ziaei, A; Solomon, O … Barcellos, LF; Waubant, E",Multiple Sclerosis Journal,2024,
From progression to progress: The future of multiple sclerosis,"Oh, J; Giacomini, PS; Yong, VW; Costello, F; Blanchette, F; Freedman, MS",Journal of Central Nervous System Disease,2024,
FROM BENCH TO BEDSIDE: A SNAIL IN TREACLE?,"Hawkes, CH; Giovannoni, G; Lechner-Scott, J; Levy, M; Yeh, A",Multiple Sclerosis and Related Disorders,2024,39406046
Expanded T lymphocytes in the cerebrospinal fluid of multiple sclerosis patients are specific for Epstein-Barr-virus-infected B cells,"Gottlieb, A; Pham, HPT; Saltarrelli, JG; Lindsey, JW",Proceedings of the National Academy of Sciences,2024,38190525
Evaluating the Clinical Utility of Epstein-Barr Virus Antibodies as Biomarkers in Multiple Sclerosis: A Systematic Review,"Bose, A; Khalighinejad, F; Hoaglin, DC; Hemond, CC",Multiple Sclerosis and Related Disorders,2024,
Epstein-Barr virus-encoded BART9 and BART15 miRNAs are elevated in exosomes of cerebrospinal fluid from relapsing-remitting multiple sclerosis patients,"Mohammadinasr, M; Montazersaheb, S; Hosseini, V; Kahroba, H; Talebi, M; Molavi, O; Ayromlou, H; Hejazi, MS",Cytokine,2024,
"Epstein-Barr virus, vitamin D and the immune response: connections with consequences for multiple sclerosis","Rasheed, A; Khan, G",Frontiers in Immunology,2024,39763665
"Epstein-Barr virus reactivation induces divergent abortive, reprogrammed, and host shutoff states by lytic progression","SoRelle, ED; Haynes, LE; Willard, KA; Chang, B; Ch’ng, J; Christofk, H; Luftig, MA",PLOS Pathogens,2024,39446925
Epstein-Barr virus infection in patients with MOGAD,"Maniscalco, GT; Dinoto, A … Andreone, V; Mariotto, S",Multiple Sclerosis Journal,2024,39668776
Epstein-Barr virus flare: A multiple sclerosis attack,"Msheik, AN; Al Mokdad, Z; Hamed, F; Assi, F; Jibbawi, A; Saad, J; Mohanna, R; Khoury, A; Farhat, M; Atat, R",Surgical Neurology International,2024,39524581
Epstein-Barr virus as a potentiator of autoimmune diseases,"Robinson, WH; Younis, S; Love, ZZ; Steinman, L; Lanz, TV",Nature Reviews Rheumatology,2024,39562522
Epstein-Barr nuclear antigen 1 antibody-based indices are increased in patients with multiple sclerosis,"Ali, R; Trier, NH; Houen, G; Frederiksen, JL",Multiple Sclerosis and Related Disorders,2024,
Epstein-Barr Viruses: Their Immune Evasion Strategies and Implications for Autoimmune Diseases,"Zhao, Y; Zhang, Q; Zhang, B; Dai, Y; Gao, Y; Li, C; Yu, Y; Li, C",International Journal of Molecular Sciences,2024,39125729
Epstein-Barr Virus in the Cerebrospinal Fluid and Blood Compartments of Patients With Multiple Sclerosis and Controls,"Lehikoinen, J; Nurmi, K; Ainola, M; Clancy, J; Nieminen, JK; Jansson, L; Vauhkonen, H; Vaheri, A; Smura, T; Laakso, SM; Eklund, KK; Tienari, PJ",Neurology Neuroimmunology & Neuroinflammation,2024,38608226
"Epstein-Barr Virus Strongly Associates With Pediatric Multiple Sclerosis, But Not Myelin Oligodendrocyte Glycoprotein‐Antibody‐Associated Disease","Fadda, G; Yea, C; O'Mahony, J; Waters, P; Yeh, EA; Marrie, RA; Arnold, D; Bar‐Or, A; Banwell, B; -",Annals of Neurology,2024,
Epstein - Barr Virus Salivary Shedding in Patients with Acute Infectious Diseases: A Pilot Study,"Skuhala, T; Židovec-Lepej, S; Trkulja, V; Radmanić, L; Đaković Rode, O; Špiljak, B; Šimunović, L; Rimac, M; Dragobratović, A",Acta Stomatologica Croatica,2024,38562219
Epidemiologic Associations Between Inflammatory Bowel Disease and Hodgkin Lymphoma or Multiple Sclerosis,"Sonnenberg, A; Kohen, R",Gastro Hep Advances,2024,
"Environmental multiple sclerosis (MS) risk factors, genetic MS risk, and brain development in a general paediatric population","de Mol, CL; Lamballais, S; Muetzel, R; Duijts, L; Smolders, J; White, T; Neuteboom, RF","Journal of Neurology, Neurosurgery & Psychiatry",2024,
Environmental factors related to multiple sclerosis progression,"Gouider, R; Souissi, A; Mrabet, S; Gharbi, A; Abida, Y; Kacem, I; Gargouri-Berrechid, A",Journal of the Neurological Sciences,2024,39137699
Enhanced and cross-reactive in vitro memory B cell response against Epstein-Barr virus nuclear antigen 1 in multiple sclerosis,"Marti, Z; Ruder, J; Thomas, OG; Bronge, M; De La Parra Soto, L; Grönlund, H; Olsson, T; Martin, R",Frontiers in Immunology,2024,39257578
Editorial: Epstein-Barr Virus and multiple sclerosis,"Houen, G; Ruprecht, K",Frontiers in Immunology,2024,
"Editorial: Community series in reassessing the immune system contribution in multiple sclerosis: therapeutic target, biomarkers of disease and immune pathogenesis, volume II","Cencioni, MT; Villar, LM; Magliozzi, R",Frontiers in Immunology,2024,39555059
Early and late complications of hematopoietic stem cell transplantation,"Mikulska, M; Gualandi, F; Anserini, P",Handbook of Clinical Neurology,2024,39111905
EBV-specific T-cell immunity: relevance for multiple sclerosis,"Behrens, M; Comabella, M; Lünemann, JD",Frontiers in Immunology,2024,39776919
EBV infected cells in the multiple sclerosis brain express PD-L1: How the virus and its niche may escape immune surveillance,"Serafini, B; Benincasa, L; Rosicarelli, B; Aloisi, F",Journal of Neuroimmunology,2024,38422689
EBV and multiple sclerosis: expression of LMP2A in MS patients,"Agostini, S; Mancuso, R; Caputo, D; Rovaris, M; Clerici, M",Frontiers in Neuroscience,2024,38721048
EBNA-1 and VCA-p18 immunoglobulin markers link Epstein-Barr virus immune response and brain’s myelin content to fatigue in a community-dwelling cohort,"Gayer, M; Xu, ZM … Fellay, J; Draganski, B","Brain, Behavior, & Immunity - Health",2024,
Disease-Modifying Treatments for Multiple Sclerosis Affect Measures of Cellular Immune Responses to EBNA-1 Peptides,"Dungan, L; Dunne, J; Savio, M; Kalaszi, M; McElheron, M; Lynagh, Y; O'Driscoll, K; Roche, C; Qureshi, A; Crowley, B; Conlon, N; Kearney, H",Neurology Neuroimmunology & Neuroinflammation,2024,38547427
Development of a Panel of Biomarkers for Differential Diagnosis of Multiple Sclerosis,"Ovchinnikova, LA; Dzhelad, SS; Simaniv, TO; Zakharova, MN; Lomakin, YA; Gabibov, AG; Illarioshkin, SN",Doklady Biochemistry and Biophysics,2024,
Deciphering the Association of Epstein-Barr Virus and Its Glycoprotein M Peptide with Neuropathologies in Mice,"Rani, A; Patra, P; Verma, TP; Singh, A; Jain, AK; Jaiswal, N; Narang, S; Mittal, N; Parmar, HS; Jha, HC",ACS Chemical Neuroscience,2024,38436259
"Cytomegalovirus, Epstein-Barr Virus, Herpes Simplex Virus, and Varicella Zoster Virus Infection Dynamics in People with Multiple Sclerosis from Northern Italy","Maple, PA; Tanasescu, R; Constantinescu, CS; Valentino, P; Capobianco, M; D’Orso, S; Borsellino, G; Battistini, L; Ristori, G; Mechelli, R; Salvetti, M; Gran, B",Pathogens,2024,
Cytomegalovirus immune responses are associated with lower serum NfL and disability accumulation risk at multiple sclerosis onset,"Lünemann, JD; Sao Avilés, A; Tintoré, M; Midaglia, L; Fissolo, N; Gutiérrez, L; Wiendl, H; Montalban, X; Comabella, M",Multiple Sclerosis Journal,2024,39246021
"Current knowledge on multiple sclerosis pathophysiology, disability progression assessment and treatment options, and the role of autologous hematopoietic stem cell transplantation","Gakis, G; Angelopoulos, I; Panagoulias, I; Mouzaki, A",Autoimmunity Reviews,2024,38008300
Coeliac disease as a model for understanding multiple sclerosis,"Drosu, N; Bjornevik, K; Cortese, M; Levy, M; Sollid, LM",Nature Reviews Neurology,2024,
CD4 T cells restricted to DRB1*15:01 recognize two Epstein-Barr virus glycoproteins capable of intracellular antigen presentation,"Drosu, N; Anderson, M; Bilodeau, PA; Nishiyama, S; Mikami, T; Bobrowski-Khoury, N; Cabot, J; Housman, D; Levy, M",Proceedings of the National Academy of Sciences,2024,
Broader anti-EBV TCR repertoire in multiple sclerosis: disease specificity and treatment modulation,"Schneider-Hohendorf, T; Wünsch, C … Wiendl, H; Schwab, N",Brain,2024,39021292
Auto-immuno-deficiency syndromes,"Houen, G",Autoimmunity Reviews,2024,
Antiviral therapy with tenofovir in MS,"Torkildsen; Myhr, K; Brugger-Synnes, P; Bjørnevik, K",Multiple Sclerosis and Related Disorders,2024,
Antigen specificity of clonally-enriched CD8+ T cells in multiple sclerosis,"Mittl, K; Hayashi, F … Zamvil, SS; Sabatino, JJ",bioRxiv : the preprint server for biology,2024,39282370
An updated advancement of bifunctional IL-27 in inflammatory autoimmune diseases,"Xu, W; Wang, D; Zhao, M; Huang, A",Frontiers in Immunology,2024,
An insect cell-derived extracellular vesicle-based gB vaccine elicits robust adaptive immune responses against Epstein-Barr virus,"Wu, Q; Chen, K; Xue, W; Wang, G; Yang, Y; Li, S; Xia, N; Chen, Y",Science China Life Sciences,2024,39499444
Altered EBV specific immune control in multiple sclerosis,"Münz, C",Journal of Neuroimmunology,2024,38615370
Adverse Childhood Experiences and the Risk of Multiple Sclerosis Development: A Review of Potential Mechanisms,"Eid, K; Bjørk, M; Gilhus, NE; Torkildsen",International Journal of Molecular Sciences,2024,38338799
Accumulation of Epstein-Barr virus-induced cross-reactive immune responses is associated with multiple sclerosis,"Vietzen, H; Kühner, LM; Berger, SM; Furlano, PL; Bsteh, G; Berger, T; Rommer, P; Puchhammer-Stöckl, E",Journal of Clinical Investigation,2024,39484720
A two-years real-word study with fingolimod: early predictors of efficacy and an association between EBNA-1 IgG titers and multiple sclerosis progression,"Dominguez-Mozo, MI; Galán, V; Ramió-Torrentà, L; Quiroga, A; Quintana, E; Villar, LM; Costa-Frossard, L; Fernández-Velasco, JI; Villarrubia, N; Garcia-Martinez, MA; Arroyo, R; Alvarez-Lafuente, R",Frontiers in Immunology,2024,
Virus exposure and neurodegenerative disease risk across national biobanks,"Levine, KS; Leonard, HL; Blauwendraat, C; Iwaki, H; Johnson, N; Bandres-Ciga, S; Ferrucci, L; Faghri, F; Singleton, AB; Nalls, MA",Neuron,2023,36669485
Virological Markers in Epstein-Barr Virus-Associated Diseases,"Lupo, J; Truffot, A; Andreani, J; Habib, M; Epaulard, O; Morand, P; Germi, R",Viruses,2023,36992365
Unusual X chromosome inactivation maintenance in female alveolar type 2 cells is correlated with increased numbers of X-linked escape genes and sex-biased gene expression,"Sierra, I; Pyfrom, S; Weiner, A; Zhao, G; Driscoll, A; Yu, X; Gregory, BD; Vaughan, AE; Anguera, MC",Stem Cell Reports,2023,36638790
Unstable EBV latency drives inflammation in multiple sclerosis patient derived spontaneous B cells,"Soldan, S; Su, C … Jacobson, S; Lieberman, P",Research square,2023,36778367
Unraveling the Connection of Epstein-Barr Virus and Its Glycoprotein M146-157 Peptide with Neurological Ailments,"Patra, P; Rani, A; Sharma, N; Mukherjee, C; Jha, HC",ACS Chemical Neuroscience,2023,37290090
Unleashing the power of anti-CD20 immunotherapy: Mitigating multiple sclerosis risk in Epstein-Barr virus latent infections,"Alrashoudi, R",Advances in Clinical and Experimental Medicine,2023,38085006
Understanding the role of membrane cholesterol upon Epstein Barr virus infection in astroglial cells,"Rani, A; Tanwar, M; Verma, TP; Patra, P; Trivedi, P; Kumar, R; Jha, HC",Frontiers in Immunology,2023,37876925
Treatment Options for Epstein-Barr Virus-Related Disorders of the Central Nervous System,"Andersen, O; Ernberg, I; Hedström, AK",Infection and Drug Resistance,2023,37465179
Toll-like receptor 10 is down-regulated in serum of patients with relapsing-remitting multiple sclerosis but not associated with Epstein-Barr virus,"Atiyah, NS; Fadhil, HY; Ad’hiah, AH",Journal of NeuroVirology,2023,36934201
Tissue-resident memory T cells in the multiple sclerosis brain and their relationship to Epstein-Barr virus infected B cells,"Serafini, B; Rosicarelli, B; Veroni, C; Aloisi, F",Journal of Neuroimmunology,2023,36753806
The value of Interferon β in multiple sclerosis and novel opportunities for its anti-viral activity: a narrative literature review,"Bellucci, G; Albanese, A; Rizzi, C; Rinaldi, V; Salvetti, M; Ristori, G",Frontiers in Immunology,2023,37334371
The repertoire of CSF antiviral antibodies in patients with neuroinflammatory diseases,"Enose-Akahata, Y; Wang, L; Almsned, F; Johnson, KR; Mina, Y; Ohayon, J; Wang, XW; Jacobson, S",Science Advances,2023,36598996
The pathogenesis of multiple sclerosis: a series of unfortunate events,"van Noort, JM; Baker, D; Kipp, M; Amor, S",Clinical and Experimental Immunology,2023,37410892
The interaction between Epstein-Barr virus and multiple sclerosis genetic risk loci: insights into disease pathogenesis and therapeutic opportunities,"Afrasiabi, A; Ahlenstiel, C; Swaminathan, S; Parnell, GP",Clinical & Translational Immunology,2023,37337612
"The identification, adaptive evolutionary analyses and mRNA expression levels of homeobox (hox) genes in the Chinese mitten crab Eriocheir sinensis.","Chen, S; Jiang, X; Xia, L; Chen, Z; Zhou, K; Yan, J; Li, P",BMC genomics,2023,37537567
The elusive nature of the oligoclonal bands in multiple sclerosis,"Kennedy, PGE; George, W; Yu, X",Journal of Neurology,2023,37945762
The concentrations of antibodies to Epstein-Barr virus decrease during ocrelizumab treatment,"Pham, HPT; Saroukhani, S; Lindsey, JW",Multiple Sclerosis and Related Disorders,2023,36603289
The association between various viral infections and multiple sclerosis: An umbrella review on systematic review and meta‐analysis,"Bakhshi, A; Eslami, N; Norouzi, N; Letafatkar, N; Amini‐Salehi, E; Hassanipour, S",Reviews in Medical Virology,2023,
The Role of Microorganisms in the Etiopathogenesis of Demyelinating Diseases,"Frau, J; Coghe, G; Lorefice, L; Fenu, G; Cocco, E",Life,2023,
The Probable Infectious Origin of Multiple Sclerosis,"Landry, RL; Embers, ME",NeuroSci,2023,39483197
